Subject type;Subject name;Creator;Instrument name;Instrument type;Instrument parameters;Function name;Data series;Wavevector (1/m);PSD (m³);standard error of PSD (m³);comment
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;12566370.614359243;5.69511439367363e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;25132741.228718486;3.5344366762590434e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;37699111.84307753;1.5622104932590924e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;50265482.45743697;5.573452871471616e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;62831853.07179561;2.460998020629368e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;75398223.68615507;1.632419678406501e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;87964594.3005146;1.4398501395877162e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;100530964.91487394;8.253661623585474e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;119380520.8364118;5.192393862474728e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;144513262.06512988;3.208642084301416e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;169646003.29385018;1.1630394461791654e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;194778744.5225683;7.56296082037978e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;226194671.05846745;4.605128029063281e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;270176968.2087211;2.791137075537324e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;314159265.3589761;9.78039490578509e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;364424747.8164288;5.709008741980112e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;433539786.19538146;1.813417128878831e-28;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;508938009.88154864;8.452167153313745e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;590619418.8748783;3.2411415641013045e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;691150383.7897564;1.3963895346473396e-29;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;810530904.6261609;7.911799632174261e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;948760981.3841212;5.307703396655553e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;1112123799.3707685;4.746250016339692e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;1300619358.5861535;3.358647751212174e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along x;1501681288.415902;2.3723155186192786e-30;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;12566370.614359243;2.7676254757368705e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;25132741.228718486;5.149104167187243e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;37699111.84307753;4.1054570540625934e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;50265482.45743697;1.2164018949232992e-24;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;62831853.07179561;2.496499917023992e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;75398223.68615507;2.9249199406797022e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;87964594.3005146;1.332543916432917e-25;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;100530964.91487394;9.653531587891697e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;119380520.8364118;4.66417575872968e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;144513262.06512988;2.318402086829574e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;169646003.29385018;2.046053542281073e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;194778744.5225683;1.2696056963632451e-26;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;226194671.05846745;8.464513680521904e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;270176968.2087211;3.189232048943575e-27;;
measurement;UNCD.500nm.2026.spm;Jalaj Mehta (0000-0001-7746-4645);Dimension Icon;undefined;{};Power spectrum;1D PSD along y;314159265.3589761;1.3322814341405246e-27;;
